小学校,中学校,区名,町名,区域,備考
奈多小,和白中,東区,三苫,"2丁目35番の一部(南側世帯のみ) ※一部の詳細は学校計画第1課・第2課へ照会のこと",
七隈小,梅林中,城南区,大字梅林,全域,梅林中校区は早良区に田隈小、野芥小校区の一部あり
七隈小,梅林中,城南区,梅林,1丁目～5丁目（6丁目、7丁目は早良区）,
七隈小,梅林中,城南区,干隈,1丁目、2丁目（3丁目～6丁目は早良区）,
七隈小,梅林中,城南区,七隈,3丁目9番～14番、21番～23番、4丁目～7丁目、8丁目9番～18番,
西新小,百道中,早良区,曙,1丁目、2丁目1番～5番,
西新小,百道中,早良区,西新,1丁目～4丁目、6丁目、7丁目,
西新小,百道中,早良区,城西,1丁目～3丁目,
西高宮小,高宮中,南区,市崎,1丁目、2丁目,高宮中校区は中央区に高宮小校区あり
西高宮小,高宮中,南区,高宮,1丁目～4丁目、5丁目1番～4番,
西高宮小,高宮中,南区,平和,1丁目、2丁目,
西長住小,長丘中,南区,長住,3丁目1番～7番、10番～25番、30番～32番、40番～42番、46番～52番,西長住小校区は城南区にもあり
西長住小,長丘中,南区,西長住,1丁目、2丁目1番～38番,
西長住小,長尾中,城南区,樋井川,3丁目,西長住小校区は南区にもあり
西花畑小,花畑中,南区,皿山,1丁目～4丁目,
西花畑小,花畑中,南区,大字桧原,全域,
西花畑小,花畑中,南区,花畑,4丁目1番、2番、5番、6番,
西花畑小,花畑中,南区,桧原,1丁目、2丁目、3丁目1番～18番、20番、21番、4丁目1番～12番、13番(1号～9号、22号～32号)、14番～41番、5丁目～7丁目,
野芥小,梅林中,早良区,大字梅林,全域,梅林中校区は城南区に七隈小、金山小の一部あり
野芥小,梅林中,早良区,梅林,6丁目1番～23番、7丁目1番～40番、46番、47番、52番,
野芥小,田隈中,早良区,大字西油山,全域,
野芥小,田隈中,早良区,野芥,3丁目1番、2番、14番、16番～30番、4丁目～8丁目,
野芥小,田隈中,早良区,大字野芥,全域,
野芥小,田隈中,早良区,田村,5丁目18番、19番、27番,
野芥小,田隈中,早良区,田隈,3丁目17番～23番,
野芥小,田隈中,早良区,梅林,6丁目24番～32番、7丁目41番～45番、48番～51番,
能古小,能古中,西区,能古,全域,
野多目小,三宅中,南区,野多目,1丁目～3丁目、4丁目1番～13番、18番(1号～14号、61号～82号)、19番～30番,
野多目小,三宅中,南区,向新町,1丁目、2丁目,
野多目小,三宅中,南区,和田,1丁目、2丁目,
野多目小,三宅中,南区,老司,1丁目1番(1号～17号、26号～48号)、2番～4番、5番(18号～36号)、6番、7番(9号～28号),
野多目小,三宅中,南区,若久,6丁目71番(21号～27号),
